dimension,cohort,sample_size,mean_error,median_error,mae,rmse,standard_deviation,q10,q25,q75,q90,skew
all,all,99,0.023809523809541218,-0.00840336134450581,1.5480774127832768,2.0788401596875903,2.0892825203748067,-2.714285714285725,-0.9957983193277542,1.2340336134453551,2.6220168067226837,-0.4736491606343728
city,Atlanta,6,0.9389355742297146,0.5315126050420531,0.9602240896358509,1.4962752992690158,1.2762004977189905,-0.031932773109204504,0.017016806722722322,1.2804621848739721,2.317226890756295,0.8018592411318057
city,Austin,6,-0.31862745098034634,-0.5546218487393446,1.2376750700279497,1.4564883480580995,1.5568563924180465,-1.7798319327730994,-0.8016806722689225,0.8250000000000561,1.378571428571405,-0.19378556773321998
city,Boston,3,0.24033613445379842,-0.755462184873906,1.3865546218487357,1.5763883143737634,1.9081032441288235,-0.9221848739495812,-0.859663865546203,0.8424369747899476,1.8011764705882598,0.3797411742699534
city,Chicago,4,0.025210084033599145,1.2798319327730994,2.0151260504201467,2.3146490990958877,2.6725680293451646,-2.411260504201675,-0.0584033613445456,1.3634453781512441,1.4579831932772735,-0.7456935434370552
city,Dallas,6,-0.21708683473372994,-0.01050420168049726,1.015406162464899,1.4672440567433878,1.5895955818637961,-1.838235294117446,-0.9203781512602482,0.05420168067237796,1.1974789915967534,0.17352199244052235
city,Denver,6,-1.235994397759119,-1.2109243697479002,1.9659663865546169,2.447007528435512,2.313481452597746,-3.570588235294153,-3.201470588235331,-0.04537815126047562,1.0735294117646959,0.22267924970840364
city,Houston,6,0.5866946778712006,0.5764705882353027,0.5866946778712006,0.6938424824739557,0.40576852333796887,0.145798319327902,0.33550420168092643,0.9157563025210003,1.037815126050397,-0.055053404119517944
city,Las Vegas,4,1.5792016806722522,1.3949579831930023,1.6699579831932532,2.271017420826538,1.8845484613772625,-0.07310924369750181,0.08949579831924837,2.884663865546006,3.378907563025406,0.09523212234441947
city,Los Angeles,3,-3.3288515406162653,-1.8495798319328003,3.3288515406162653,3.9973939324935324,2.710508902053124,-5.535630252100878,-4.153361344537849,-1.7647058823529491,-1.7137815126050384,-0.38320259937308265
city,Miami,6,1.8469187675070013,1.4037815126050006,1.8469187675070013,2.2190325119688,1.3474403981200722,0.7462184873949482,1.189495798319328,2.369957983193302,3.390756302521055,0.5757302285446522
city,Minneapolis,4,-1.2100840336134269,-1.0285714285714036,1.2100840336134269,1.5484589403778224,1.1155995229052809,-2.2827731092436965,-1.6455882352940812,-0.5930672268907493,-0.28260504201677594,-0.32602958977431623
city,NYC,6,-0.7703081232493029,-0.9957983193277542,1.0602240896358712,1.1261366453880748,0.8998727505655741,-1.5264705882353056,-1.3487394957983554,-0.5798319327731036,0.21134453781515106,0.8090669483178604
city,New Orleans,5,0.18235294117648096,0.3966386554621977,1.1894117647058806,1.460475916214663,1.6200838352872924,-1.3389915966386383,-0.8579831932773061,0.41680672268910257,1.7363025210084033,0.3320537392047569
city,Oklahoma City,5,-3.0806722689074606,-2.8008403361340015,3.0806722689074606,3.800050174537393,2.4874283156973167,-5.7090756302521015,-4.384033613445396,-1.2344537815125989,-0.7287394957982798,-0.2568220696322217
city,Philadelphia,4,2.0766806722689477,2.525210084033649,2.4481092436975,2.7086839260005915,2.008105573718198,0.19042016806726725,1.5903361344538247,3.011554621848772,3.6041176470588674,-0.4650255947870368
city,Phoenix,6,0.4529411764704842,0.7155462184871482,2.6112044817926168,2.958675991570569,3.2028627033490444,-3.2373949579831987,-2.119327731092554,3.153991596638825,3.880672268907503,-0.10948075014039997
city,San Antonio,5,0.16655462184876058,-0.5294117647058982,1.0176470588235162,1.2292633327399047,1.3616845721199689,-0.8460504201679953,-0.564705882352996,0.6126050420167957,1.6537815126050561,0.6346043972889868
city,San Francisco,4,0.14117647058822413,-0.07058823529414937,0.27983193277312424,0.42939655287237183,0.4682600470834241,-0.11773109243697064,-0.09012605042017441,0.16071428571424917,0.5694957983193178,0.7399519460285686
city,Seattle,5,1.5178151260504378,0.7327731092436949,1.6710924369747986,2.2295863501343356,1.8259560974451996,-0.052100840336102294,0.4445378151260968,2.731092436974805,3.5307563025210187,0.31867441259313917
city,Washington DC,5,-0.09142857142858248,-0.784033613445402,1.2242016806722575,1.253739833042308,1.3979915885313308,-1.270252100840318,-1.1638655462185028,1.214285714285694,1.4563025210083738,0.270886147061822
station,ATL,6,0.9389355742297146,0.5315126050420531,0.9602240896358509,1.4962752992690158,1.2762004977189905,-0.031932773109204504,0.017016806722722322,1.2804621848739721,2.317226890756295,0.8018592411318057
station,AUS,6,-0.31862745098034634,-0.5546218487393446,1.2376750700279497,1.4564883480580995,1.5568563924180465,-1.7798319327730994,-0.8016806722689225,0.8250000000000561,1.378571428571405,-0.19378556773321998
station,BOS,3,0.24033613445379842,-0.755462184873906,1.3865546218487357,1.5763883143737634,1.9081032441288235,-0.9221848739495812,-0.859663865546203,0.8424369747899476,1.8011764705882598,0.3797411742699534
station,DCA,5,-0.09142857142858248,-0.784033613445402,1.2242016806722575,1.253739833042308,1.3979915885313308,-1.270252100840318,-1.1638655462185028,1.214285714285694,1.4563025210083738,0.270886147061822
station,DEN,6,-1.235994397759119,-1.2109243697479002,1.9659663865546169,2.447007528435512,2.313481452597746,-3.570588235294153,-3.201470588235331,-0.04537815126047562,1.0735294117646959,0.22267924970840364
station,DFW,6,-0.21708683473372994,-0.01050420168049726,1.015406162464899,1.4672440567433878,1.5895955818637961,-1.838235294117446,-0.9203781512602482,0.05420168067237796,1.1974789915967534,0.17352199244052235
station,HOU,6,0.5866946778712006,0.5764705882353027,0.5866946778712006,0.6938424824739557,0.40576852333796887,0.145798319327902,0.33550420168092643,0.9157563025210003,1.037815126050397,-0.055053404119517944
station,LAS,4,1.5792016806722522,1.3949579831930023,1.6699579831932532,2.271017420826538,1.8845484613772625,-0.07310924369750181,0.08949579831924837,2.884663865546006,3.378907563025406,0.09523212234441947
station,LAX,3,-3.3288515406162653,-1.8495798319328003,3.3288515406162653,3.9973939324935324,2.710508902053124,-5.535630252100878,-4.153361344537849,-1.7647058823529491,-1.7137815126050384,-0.38320259937308265
station,MDW,4,0.025210084033599145,1.2798319327730994,2.0151260504201467,2.3146490990958877,2.6725680293451646,-2.411260504201675,-0.0584033613445456,1.3634453781512441,1.4579831932772735,-0.7456935434370552
station,MIA,6,1.8469187675070013,1.4037815126050006,1.8469187675070013,2.2190325119688,1.3474403981200722,0.7462184873949482,1.189495798319328,2.369957983193302,3.390756302521055,0.5757302285446522
station,MSP,4,-1.2100840336134269,-1.0285714285714036,1.2100840336134269,1.5484589403778224,1.1155995229052809,-2.2827731092436965,-1.6455882352940812,-0.5930672268907493,-0.28260504201677594,-0.32602958977431623
station,MSY,5,0.18235294117648096,0.3966386554621977,1.1894117647058806,1.460475916214663,1.6200838352872924,-1.3389915966386383,-0.8579831932773061,0.41680672268910257,1.7363025210084033,0.3320537392047569
station,NYC,6,-0.7703081232493029,-0.9957983193277542,1.0602240896358712,1.1261366453880748,0.8998727505655741,-1.5264705882353056,-1.3487394957983554,-0.5798319327731036,0.21134453781515106,0.8090669483178604
station,OKC,5,-3.0806722689074606,-2.8008403361340015,3.0806722689074606,3.800050174537393,2.4874283156973167,-5.7090756302521015,-4.384033613445396,-1.2344537815125989,-0.7287394957982798,-0.2568220696322217
station,PHL,4,2.0766806722689477,2.525210084033649,2.4481092436975,2.7086839260005915,2.008105573718198,0.19042016806726725,1.5903361344538247,3.011554621848772,3.6041176470588674,-0.4650255947870368
station,PHX,6,0.4529411764704842,0.7155462184871482,2.6112044817926168,2.958675991570569,3.2028627033490444,-3.2373949579831987,-2.119327731092554,3.153991596638825,3.880672268907503,-0.10948075014039997
station,SAT,5,0.16655462184876058,-0.5294117647058982,1.0176470588235162,1.2292633327399047,1.3616845721199689,-0.8460504201679953,-0.564705882352996,0.6126050420167957,1.6537815126050561,0.6346043972889868
station,SEA,5,1.5178151260504378,0.7327731092436949,1.6710924369747986,2.2295863501343356,1.8259560974451996,-0.052100840336102294,0.4445378151260968,2.731092436974805,3.5307563025210187,0.31867441259313917
station,SFO,4,0.14117647058822413,-0.07058823529414937,0.27983193277312424,0.42939655287237183,0.4682600470834241,-0.11773109243697064,-0.09012605042017441,0.16071428571424917,0.5694957983193178,0.7399519460285686
